key,tag,selfTransfer,cost,description,draftMode,key:manager
#base entity
flight-01,Lorem ipsum dolor sit ame,true,EUR 500000.00,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,false,manager-01
#tag variations
flight-02,L,true,EUR 500000.00,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,false,manager-01
flight-03,Lo,true,EUR 500000.00,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,false,manager-01
flight-04,"Lorem ipsum dolor sit amet, consectetur adipiscin",true,EUR 500000.00,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,false,manager-01
flight-05,"Lorem ipsum dolor sit amet, consectetur adipiscing",true,EUR 500000.00,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,manager-01
flight-06,โลเร็ม อิปซัม,true,EUR 500000.00,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,manager-01
flight-07,لوريم إيبسوم,true,EUR 500000.00,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,manager-01
flight-08,洛伦·伊普森,true,EUR 500000.00,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,manager-01
flight-09,<marquee>Hacked</marquee>,true,EUR 500000.00,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,manager-01
flight-10,<script>alert(‘Hacked!’);</script>,true,EUR 500000.00,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,manager-01
